Altium Designer Pick and Place Locations
C:\OneDrive\00_opensolar\main_pcb\Project Outputs for Free Documents\Pick Place\Pick Place for Main.csv

========================================================================================================================
File Design Information:

Date:       30/08/20
Time:       12:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","jlc"
"U2","ESP8266 ESP-12-E","TopLayer","ESP8266_ESP-12-E","1548.000","1978.500","90","ESP8266 ESP-12-E",""
"D5","BLUE","TopLayer","6-0805_M","1305.000","170.000","180","Typical RED, GREEN, YELLOW, AMBER GaAs LED","C72035"
"D4","RED","TopLayer","6-0805_M","1304.370","275.000","180","Typical RED, GREEN, YELLOW, AMBER GaAs LED","C72037"
"TP9","TEST_POINT","TopLayer","TEST_POINT_PAD","1010.000","1180.000","90","",""
"TP8","TEST_POINT","TopLayer","TEST_POINT_PAD","1055.000","1180.000","270","",""
"TP6","TEST_POINT","TopLayer","TEST_POINT_PAD","1235.000","975.000","360","",""
"TP3","TEST_POINT","TopLayer","TEST_POINT_PAD","725.000","1184.000","270","",""
"TP2","TEST_POINT","TopLayer","TEST_POINT_PAD","855.000","1180.000","270","",""
"TP1","TEST_POINT","TopLayer","TEST_POINT_PAD","980.000","660.000","90","",""
"R22","47R","TopLayer","6-0805_N","1310.000","75.000","180","Resistor","C17714"
"R21","47R","TopLayer","6-0805_N","1309.567","375.000","180","Resistor","C17714"
"R12","33R","TopLayer","6-0805_N","240.000","1285.000","0","Resistor","C17634"
"R5","10K","TopLayer","6-0805_N","955.433","395.000","360","Resistor","C17414"
"D1","LM4040D30FTA","TopLayer","SOT23_LM4040","545.000","1245.000","0","Zener Diode",""
"C11","1uF","TopLayer","6-0805_M","240.630","1190.000","180","Capacitor","C28323"
"C8","1uF","TopLayer","6-0805_M","950.630","295.000","360","Capacitor","C28323"
"C7","1uF","TopLayer","6-0805_M","794.370","1555.000","180","Capacitor","C28323"
"C6","1uF","TopLayer","6-0805_M","379.370","1485.000","180","Capacitor","C28323"
"C5","1uF","TopLayer","6-0805_M","795.630","1445.000","180","Capacitor","C28323"
"C4","1uF","TopLayer","6-0805_M","380.630","1590.000","180","Capacitor","C28323"
"C3","1uF","TopLayer","6-0805_M","1639.370","845.000","180","Capacitor","C28323"
"C2","1uF","TopLayer","6-0805_M","1639.370","740.000","180","Capacitor","C28323"
"U5","PAM2301CAAB330","TopLayer","SOT95P280X100-5N","1690.000","460.000","270","Buck Switching Regulator IC Positive Fixed 1.2V 1 Output 800mA SOT-23-5 Thin, TSOT-23-5","C9051"
"R18","10K","TopLayer","6-0805_N","1635.433","1040.000","0","Resistor","C17414"
"R17","10K","TopLayer","6-0805_N","1635.433","1225.000","180","Resistor","C17414"
